title,image-file,license
HTML,html.svg,svg icon from https://www.svgrepo.com/svg/452228/html-5. MIT license. https://www.svgrepo.com/page/licensing/#MIT
CSS,css.svg,svg icon from https://www.svgrepo.com/svg/373535/css. MIT license. https://www.svgrepo.com/page/licensing/#MIT
JavaScript,js.svg,svg icon from https://www.svgrepo.com/svg/349419/javascript. MIT license. https://www.svgrepo.com/page/licensing/#MIT
Python,py.svg,svg icon from https://www.svgrepo.com/svg/452091/python. MIT license. https://www.svgrepo.com/page/licensing/#MIT
Supabase,supabase.svg,
Express.js,expressjs.svg,
Git,git.svg,svg icon from https://www.svgrepo.com/svg/452210/git. MIT license. https://www.svgrepo.com/page/licensing/#MIT
Problem Solving,problem_solving.svg,svg icon from https://www.svgrepo.com/svg/323073/puzzle. CC-BY license. https://www.svgrepo.com/page/licensing/#CC%20Attribution
Team Collaboration,team_collaboration.svg,svg icon from https://www.svgrepo.com/svg/335405/group. MIT license. https://www.svgrepo.com/page/licensing/#MIT
GitHub,github.svg,svg icon from https://www.svgrepo.com/svg/521688/github. CC-BY license. https://www.svgrepo.com/page/licensing/#CC%20Attribution
Open Link,open_link.svg,
Mail,mail.svg,svg icon from https://www.svgrepo.com/svg/521736/mail. CC-BY license. https://www.svgrepo.com/page/licensing/#CC%20Attribution
Location,location.svg,svg icon from https://www.svgrepo.com/svg/449138/location. Apache license. https://www.svgrepo.com/page/licensing/#Apache
